,date,code
202,2011-11-03,601166
203,2011-11-04,601166
204,2011-11-07,601166
205,2011-11-08,601166
206,2011-11-09,601166
207,2011-11-10,601166
208,2011-11-11,601166
209,2011-11-14,601166
210,2011-11-15,601166
211,2011-11-16,601166
212,2011-11-17,601166
213,2011-11-18,601166
214,2011-11-21,601166
215,2011-11-22,601166
216,2011-11-23,601166
217,2011-11-24,601166
218,2011-11-25,601166
219,2011-11-28,601166
220,2011-11-29,601166
221,2011-11-30,601166
222,2011-12-01,601166
223,2011-12-02,601166
224,2011-12-05,601166
225,2011-12-06,601166
226,2011-12-07,601166
227,2011-12-08,601166
228,2011-12-09,601166
229,2011-12-12,601166
230,2011-12-13,601166
231,2011-12-14,601166
232,2011-12-15,601166
233,2011-12-16,601166
234,2011-12-19,601166
235,2011-12-20,601166
236,2011-12-21,601166
237,2011-12-22,601166
238,2011-12-23,601166
239,2011-12-26,601166
240,2011-12-27,601166
241,2011-12-28,601166
242,2011-12-29,601166
243,2011-12-30,601166
244,2012-01-04,601166
245,2012-01-05,601166
246,2012-01-06,601166
247,2012-01-09,601166
248,2012-01-10,601166
249,2012-01-11,601166
250,2012-01-12,601166
251,2012-01-13,601166
252,2012-01-16,601166
253,2012-01-17,601166
254,2012-01-18,601166
255,2012-01-19,601166
256,2012-01-20,601166
257,2012-01-30,601166
258,2012-01-31,601166
259,2012-02-01,601166
260,2012-02-02,601166
261,2012-02-03,601166
262,2012-02-06,601166
263,2012-02-07,601166
264,2012-02-08,601166
265,2012-02-09,601166
266,2012-02-10,601166
267,2012-02-13,601166
268,2012-02-14,601166
269,2012-02-15,601166
270,2012-02-16,601166
271,2012-02-17,601166
272,2012-02-20,601166
273,2012-02-21,601166
274,2012-02-22,601166
275,2012-02-23,601166
276,2012-02-24,601166
277,2012-02-27,601166
278,2012-02-28,601818
279,2012-02-29,601818
280,2012-03-01,601818
281,2012-03-02,601818
282,2012-03-05,601818
283,2012-03-06,601166
284,2012-03-07,601166
285,2012-03-08,601166
286,2012-03-09,601166
287,2012-03-12,601166
288,2012-03-13,601166
289,2012-03-14,601166
290,2012-03-15,601166
291,2012-03-16,601166
292,2012-03-19,601166
293,2012-03-20,601166
294,2012-03-21,601166
295,2012-03-22,601166
296,2012-03-23,601166
297,2012-03-26,601166
298,2012-03-27,601166
299,2012-03-28,601166
300,2012-03-29,601166
301,2012-03-30,601166
302,2012-04-05,601166
303,2012-04-06,601166
304,2012-04-09,601818
305,2012-04-10,601166
306,2012-04-11,601166
307,2012-04-12,601166
308,2012-04-13,601166
309,2012-04-16,601166
310,2012-04-17,601166
311,2012-04-18,601166
312,2012-04-19,601166
313,2012-04-20,601166
314,2012-04-23,601166
315,2012-04-24,601166
316,2012-04-25,601166
317,2012-04-26,601166
318,2012-04-27,601166
319,2012-05-02,601166
320,2012-05-03,601166
321,2012-05-04,601166
322,2012-05-07,601166
323,2012-05-08,601166
324,2012-05-09,601166
325,2012-05-10,601166
326,2012-05-11,601166
327,2012-05-14,601166
328,2012-05-15,601166
329,2012-05-16,601166
330,2012-05-17,601166
331,2012-05-18,601166
332,2012-05-21,601166
333,2012-05-22,601166
334,2012-05-23,601166
335,2012-05-24,601166
336,2012-05-25,601166
337,2012-05-28,601166
338,2012-05-29,601166
339,2012-05-30,601166
340,2012-05-31,601166
341,2012-06-01,601166
342,2012-06-04,601166
343,2012-06-05,601166
344,2012-06-06,601166
345,2012-06-07,601166
346,2012-06-08,601166
347,2012-06-11,601166
348,2012-06-12,601166
349,2012-06-13,601166
350,2012-06-14,601166
351,2012-06-15,601166
352,2012-06-18,601166
353,2012-06-19,601166
354,2012-06-20,601166
355,2012-06-21,601166
356,2012-06-25,601166
357,2012-06-26,601166
358,2012-06-27,601166
359,2012-06-28,601166
360,2012-06-29,601166
361,2012-07-02,601166
362,2012-07-03,600000
363,2012-07-04,600000
364,2012-07-05,601166
365,2012-07-06,600000
366,2012-07-09,600000
367,2012-07-10,600000
368,2012-07-11,600000
369,2012-07-12,600000
370,2012-07-13,600000
371,2012-07-16,600000
372,2012-07-17,600000
373,2012-07-18,600000
